zcp3m_stationary,zcp10y_spread,home_value_houses_nsw,rental_houses_nsw_stationary,gdp,cpi,asx200,forex
-0.000275806,0.0161,0.019042584,-2.92683E-05,0.003234842,0.004415018,0.040318607,0.049276831
0.00102219,0.019418182,0.000250887,1.66938E-05,0.011701189,0.008771986,-0.013753226,-0.026683718
0.003458002,0.018521875,0.011617193,-5.05691E-05,0.016884455,0.005805532,0.030276167,-0.016000341
0.007698636,0.010196825,0.033021894,0.002475718,0.003618409,0.008645587,0.046995906,-0.022961734
0.001720088,0.002940984,0.019482624,-0.000163415,0.009189531,0.007147993,0.018030744,-0.039905544
0.002782598,-0.000809231,-0.001024165,0,0.001936082,0.037740328,0.035104376,-0.015384919
-0.001343956,-0.000753968,0.000221069,0,-0.003754786,0.002739728,-0.011469199,-0.038187655
-0.009907937,0.005068254,0.022121339,0,0.010109513,0.010884461,0.008183854,-0.008086297
-0.003933984,0.01682459,0.02449734,2.34146E-05,0.008243023,0.008086297,0.038317485,0.002702704
6.43E-06,0.017107813,0.042030563,5.51762E-05,0.012027036,0.002680967,-0.055353603,-0.013587166
-0.00609111,0.022444828,0.047068737,-1.29539E-05,0.011913961,0.009327183,0.020387855,0.020982157
0.002721839,0.022386667,0.039269601,-1.21409E-05,0.007528723,0.00924099,0.046177373,0.027742862
0.006328495,0.016006452,0.023063339,-0.002521518,0.016591103,0.006548812,-0.026677769,0.028261354
-0.001176979,0.012566667,0.034504945,-0.001111653,0.003488126,0.006506204,-0.071558361,-0.030870619
-0.001769744,0.013373438,0.040471457,0.003228347,0.007321258,0.006464147,-0.036646409,0.016839776
-0.001211341,0.011848387,0.029472902,0.01383729,0.000992613,0.012804272,-0.03437831,0.043976935
-0.00050431,0.009909836,0.036296457,0.004500325,0.003345206,0,0.03295346,0.062538982
0.001599031,0.011966667,0.046071695,-1.36043E-05,0.016720195,0.006341175,0.046538609,0.008623221
0.005482244,0.006575,0.050381729,7.80488E-05,0.016485334,0.005044147,0.028276527,0.065897071
0.001993874,0.003598413,0.026495049,0.000169539,0.008210721,0.008766493,0.033943852,0.036310224
-0.000680517,0.008730645,-0.006308921,0.000538699,0.006682725,0.004975135,0.029432468,-0.059623831
-0.000163783,0.004960606,-0.017474706,0.000412575,0.007537857,0.003715175,0.031107502,-0.005500564
-0.000460511,0.002557813,0.004395202,0.000811057,0.007688069,0.007389196,0.079613783,0.04317994
0.002680208,0.000265,0.003706007,0.000760813,0.007837377,0.007334996,0.073847246,0.012598592
9.92063E-05,-0.00131746,0.004349319,0.006543686,0.004469665,0.006071664,-0.007205203,0.000521512
-0.000609812,-0.001277273,-0.007607481,0.010889214,0.010672133,0.009638629,0.074089184,0.00260349
0.000298701,-0.000280952,-0.00111828,0.005824011,0.008318922,0.004784698,0.029617422,-0.010454878
-0.000246032,-0.001552381,0.002772007,-6.74797E-05,0.002084164,0.008318527,0.071847405,-0.018563249
0.003040177,-0.001298361,0.009595214,0.007962222,0.001730119,0.016432295,0.044376227,0.007466701
0.003003657,-0.004809231,0.003031499,-0.000375068,0.014714587,0.009270055,-0.018476886,0.010570923
0.001837118,-0.009149206,0.006054005,0.003048076,0.012941858,-0.001154068,0.072755226,0.016684433
0.000661905,-0.008249206,0.003293092,0.00291664,0.014676346,0,0.073062976,0.004642773
0.000236664,-0.006409836,0.014819062,0.000410244,0.005881825,0.012622084,0.072421211,0.04330989
0.001421236,-0.006830769,0.011460533,9.95122E-05,0.011058978,0.006818208,-0.006936421,0.010296732
0.003270721,-0.011490625,0.015377711,0.002825149,0.004945998,0.009019227,0.053009522,0.023144717
0.003652305,-0.013860656,0.006362183,0.005082873,0.011273086,0.013378126,-0.156312524,-0.003820444
0.001531772,-0.011466667,-0.010874421,0.000931978,0.002369419,0.014293811,-0.005885024,0.037102166
-0.005455195,-0.009243939,-0.022359944,0.01655084,0.007465008,0.011937201,-0.11889,-0.064753697
-0.030424195,0.018020313,-0.017026666,0.009317778,-0.004498443,-0.003241494,-0.244623715,-0.209343491
-0.00931124,0.0143,0.000776719,-0.006600217,0.010070092,0.001081666,-0.109700317,0.003027553
-0.000308065,0.022846774,0.020595287,-0.01612168,0.005677265,0.004315001,0.097481994,0.126478161
